id,name,link,regular_price,promo_price,brand_name
567223,"Шоколад Bucheron горький с клюквой, клубникой и фисташками 72% какао, 100г",https://online.metro-cc.ru/products/bucheron-gorkij-s-klyukvoj-klubnikoj-fistashkami-72-kakao-100g,249,179,BUCHERON
114901,"Шоколад Россия Щедрая душа Кофе с молоком молочный, 82г",https://online.metro-cc.ru/products/molochnyj-rossiya-schedraya-dusha-kofe-s-molokom-82g,65.90,65.90,РОССИЯ ЩЕДРАЯ ДУША
214128,"Шоколад KitKat молочный с хрустящей вафлей, 42г",https://online.metro-cc.ru/products/415g-batonchik-kit-kat-shokoladnyy,97.90,97.90,KITKAT
499654,"Шоколад Merci молочный, 100г",https://online.metro-cc.ru/products/merci-molochnyj-100g,199,199,MERCI
118426,"Батончик Snickers Криспер шоколадный, 60г x 24 шт",https://online.metro-cc.ru/products/3-20g-snickers-krisper-118426,1269.60,1269.60,SNICKERS
90508,"Шоколад Alpen Gold капучино, 85г",https://online.metro-cc.ru/products/alpen-gold-kapuchino-85g,81.90,81.90,ALPEN GOLD
218673,"Батончик Goodmix печенье криспи, 47г",https://online.metro-cc.ru/products/47g-batonchik-goodmix-pechene-krispi,44.99,42.90,GOODMIX
632422,"Драже M&M's с соленым арахисом, 45г",https://online.metro-cc.ru/products/drazhe-m-m-039s-s-solenym-arahisom-45g-632422,55.90,55.90,M&M'S
222181,"Шоколад Кондитерская фабрика Крупской особый 85% какао, 88г",https://online.metro-cc.ru/products/88g-shokolad-osobyy-kf-im-nk-krupskoy-85-kakao,152,152,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ
468857,"Шоколад Ritter Sport молочный клубника с йогуртом, 100г",https://online.metro-cc.ru/products/ritter-sport-klubnika-jogurt-100g,149,139,RITTER SPORT
599061,"Драже M&M's криспи, 36г",https://online.metro-cc.ru/products/drazhe-m-m-039s-krispi-36g-599061,55.90,55.90,M&M'S
95926,"Шоколад Аленка Красный Октябрь молочный с драже, 90г",https://online.metro-cc.ru/products/alenka-krasnyj-oktyabr-s-drazhe-90-g,109,109,АЛЕНКА
222175,"Шоколад Кондитерская фабрика Крупской с помадно-сливочной начинкой, 50г",https://online.metro-cc.ru/products/50g-shokolad-kf-im-nk-krupskoy-s-pomad-slivochn-nach,51.90,51.90,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ
218674,"Батончик Goodmix соленая карамель, 44г",https://online.metro-cc.ru/products/44g-batonchik-goodmix-solenaya-karamel,41.99,41.99,GOODMIX
91296,"Шоколад Alpen Gold Max Fun молочный c фруктово ягодными кусочками и шипучими рисовыми шариками, 150г",https://online.metro-cc.ru/products/alpen-gold-maxfun-molochnyj-frukty-yagody-150g,199,199,ALPEN GOLD
217054,"Шоколад Alpen Gold молочный клубника-йогурт, 85г",https://online.metro-cc.ru/products/shokolad-alpen-gold-molochnyy-klubnika-yogurt-85g,81.90,81.90,ALPEN GOLD
90514,"Шоколад Alpen Gold с соленым миндалем и карамелью, 85г",https://online.metro-cc.ru/products/alpen-gold-solenyj-mindal-karamel-85g,94.90,94.90,ALPEN GOLD
222862,"Шоколад N Nature темный какао с миндалем 70%, 80г",https://online.metro-cc.ru/products/80g-shokolad-n-nature-temnyy-70-kakao-s-mindalem,119,109,N NATURE
328588,"Батончик Milky Way шоколадный 1+1, 52г x 18 шт",https://online.metro-cc.ru/products/milky-way-1-1-52g-328588,860.22,860.22,MILKY WAY
412349,"Шоколад Красный Октябрь Аленка молочный, 15г x 42 шт",https://online.metro-cc.ru/products/krasnyj-oktyabr-alenka-15g-412349,835.80,835.80,АЛЕНКА
203572,"Шоколад Villars белый с ванилью, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-belyy-s-vanilyu,399,399,VILLARS
222174,"Шоколад Кондитерская фабрика Крупской с шоколадной начинкой, 50г",https://online.metro-cc.ru/products/50g-shokolad-kf-im-nk-krupskoy-s-shokoladnoy-nach,55.99,55.99,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ
544642,"Шоколад Ritter Sport темный с мятой, 100г",https://online.metro-cc.ru/products/ritter-sport-temnyj-myata-100g,149,139,RITTER SPORT
206091,"Шоколад Ritter Sport вафля-какао-мусс, 100г",https://online.metro-cc.ru/products/100g-shokolad-ritter-sport-vaflyakakao-muss,149,139,RITTER SPORT
567224,"Шоколад Bucheron горький с миндалем, клюквой и фисташками 72% какао, 100г",https://online.metro-cc.ru/products/bucheron-gorkij-s-mindalem-klyukvoj-fistashkami-72-kakao-100g,249,179,BUCHERON
114903,"Шоколад Россия Щедрая душа Миндаль и вафля молочный, 82г",https://online.metro-cc.ru/products/molochnyj-rossiya-schedraya-dusha-mindal-vafli-82g,65.90,65.90,РОССИЯ ЩЕДРАЯ ДУША
201384,"RIOBA Шоколад горький с вишней и миндалем, 100г",https://online.metro-cc.ru/products/100g-shokolad-rioba-gorkiy-s-vishney-i-mindalem,124,119,RIOBA
460047,"Шоколад Lindt Excellence мята, 100г",https://online.metro-cc.ru/products/art_460047,329,239,LINDT
95922,"Шоколад Аленка Красный Октябрь молочный фундук, 90г",https://online.metro-cc.ru/products/alenka-krasnyj-oktyabr-funduk-90-g,109,109,АЛЕНКА
235642,"Шоколад горький Победа вкуса какао 72%, 100г",https://online.metro-cc.ru/products/100g-shokolad-gorkiy-pobeda-vkusa-72-kakao,121,121,ПОБЕДА ВКУСА
112682,"Шоколад Milka молочный с фундуком и изюмом, 85г",https://online.metro-cc.ru/products/shokolad-milka-molochnyj-s-fundukom-izyumom-85g,120,99.90,MILKA
120568,"Шоколад Nature's Own Factory гречишный с кокосом, 20г",https://online.metro-cc.ru/products/grechishnyj-s-kokosom-nature-039s-own-factory-24g,119,119,NATURE'S OWN FACTORY
114904,"Шоколад Россия Щедрая душа Карамель и арахис молочный, 82г",https://online.metro-cc.ru/products/molochnyj-rossiya-schedraya-dusha-mindal-arahis-82g,65.90,65.90,РОССИЯ ЩЕДРАЯ ДУША
34691,"Батончик Snickers шоколадный, 20г",https://online.metro-cc.ru/products/shokoladnyj-batonchik-snickers-stik-20-g,17.99,17.99,SNICKERS
109019,"Шоколад Merci молочный c цельным миндалем, 100г",https://online.metro-cc.ru/products/shokolad-merci-molochnyj-c-celnym-mindalem-100-g,219,219,MERCI
226737,"Шоколад A.Korkunov молочный, 90г",https://online.metro-cc.ru/products/90g-shokolad-korkunov-molochnyy,129,129,A.KORKUNOV
136176,"Шоколад Степ с начинкой Арахис и карамель, 90г",https://online.metro-cc.ru/products/90g-shokolad-step-s-nachinkoy-arahis-i-karamel,63.90,63.90,СТЕП
109563,"RIOBA Шоколад горький 72% какао, 100г",https://online.metro-cc.ru/products/rioba-gorkij-72-kakao-100g,124,119,RIOBA
138905,"Шоколад Red Delight Red Fruits молочный с яблоком и фундуком, 85г",https://online.metro-cc.ru/products/85g-shokolad-red-delight-molochnyy-yablokofunduk,209,129,RED
120567,"Шоколад Nature's Own Factory гречишный белый, 20г",https://online.metro-cc.ru/products/grechishnyj-belyj-nature-039s-own-factory-24g,113,113,NATURE'S OWN FACTORY
659228,"Шоколад Milka Молочный с карамелью и арахисом, 90г",https://online.metro-cc.ru/products/art_659228,179,109,MILKA
226739,"Шоколад A.Korkunov горький 55%, 90г",https://online.metro-cc.ru/products/90g-shokolad-55-korkunov-gorkiy,129,129,A.KORKUNOV
216449,"Шоколад Россия Щедрая душа молочный цельный фундук, 85г",https://online.metro-cc.ru/products/85g-shokolad-rossiya-schedraya-dusha-molochnyy-tsel-funduk,85.90,85.90,РОССИЯ ЩЕДРАЯ ДУША
222177,"Шоколад Славянка Левушка детям с молочной начинкой, 85г",https://online.metro-cc.ru/products/85g-shokolad-lyovushka-detyam-slavyanka-s-molochnoy-nachin,83.90,83.90,СЛАВЯНКА
215868,"Шоколад Красный Октябрь Слава темный пористый, 75г",https://online.metro-cc.ru/products/75g-shokolad-slava-krasnyy-oktyabr-temnyy-poristyy,119,109,КРАСНЫЙ ОКТЯБРЬ
131005,"Шоколад Россия Щедрая душа Maxibon Sandwich with strawberry taste молочный со вкусом клубники и печеньем, 80г",https://online.metro-cc.ru/products/80g-rossiya-schedraya-dusha-maxibon-klubn,81.90,81.90,РОССИЯ ЩЕДРАЯ ДУША
